# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/informationmanagement.cpp,C++,1,526,1,277,214,35,65.48 KB,83.68%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/informationmanagement.h,C/C++ Header,174,136,8,30,5.88 KB,78.16%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/KeyParamenterWaveform.cpp,C++,115,96,14,5,3.89 KB,83.48%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/KeyParamenterWaveform.h,C/C++ Header,44,33,1,10,904.00 B,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/ledwidget.cpp,C++,51,32,0,19,992.00 B,62.75%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/ledwidget.h,C/C++ Header,57,23,16,18,1.32 KB,40.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/main.cpp,C++,12,9,0,3,183.00 B,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/mainwindow.cpp,C++,15,12,0,3,233.00 B,80.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/mainwindow.h,C/C++ Header,23,16,0,7,313.00 B,69.57%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/mydockwidget.cpp,C++,58,47,0,11,1.06 KB,81.03%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/mydockwidget.h,C/C++ Header,23,16,1,6,498.00 B,69.57%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/passworddialog.cpp,C++,136,112,13,11,4.25 KB,82.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/passworddialog.h,C/C++ Header,96,40,41,15,2.29 KB,41.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmdatabase.cpp,C++,243,174,6,63,6.12 KB,71.60%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmdatabase.h,C/C++ Header,71,48,9,14,1.74 KB,67.61%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmwidget.cpp,C++,2,369,2,000,270,99,96.66 KB,84.42%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmwidget.h,C/C++ Header,334,242,40,52,11.80 KB,72.46%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmwidget_global.h,C/C++ Header,13,9,0,4,264.00 B,69.23%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/phmwidgetdata.cpp,C++,364,319,20,25,13.97 KB,87.64%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QAlarmDataWidget.cpp,C++,738,670,32,36,27.38 KB,90.79%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QAlarmDataWidget.h,C/C++ Header,94,66,8,20,2.87 KB,70.21%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qalldefine.h,C/C++ Header,642,550,34,58,17.21 KB,85.67%
